Nama CPU,CPU Mark
AMD EPYC 9754,"98,450"
AMD EPYC 9755,"166,328"
AMD EPYC 9845,"152,985"
AMD EPYC 9965,"160,778"
AMD EPYC 9B14,"126,257"
AMD EPYC 9B45,"158,790"
AMD EPYC 9D25 126 Core,"114,275"
AMD EPYC 9J14,"124,637"
AMD EPYC 9R14,"116,475"
AMD EPYC 9R45,"6,922"
AMD EPYC 9V74,"117,606"
AMD EPYC Embedded 7292P,"30,542"
AMD EPYC Embedded 8224P,"48,869"
AMD EPYC Embedded 9755,"164,010"
AMD FirePro A320 APU,"2,153"
AMD FX 4100 Quad Core,"2,630"
AMD FX 4130 Quad Core,"2,723"
AMD FX 4150 Quad Core,"3,327"
AMD FX 4170 Quad Core,"3,058"
AMD FX 4200 Quad Core,"3,119"
AMD FX 4300 Quad Core,"2,992"
AMD FX 4320,"3,150"
AMD FX 4330,"3,146"
AMD FX 4350 Quad Core,"3,184"
AMD FX 6100 Six Core,"3,698"
AMD FX 6120 Six Core,"3,853"
AMD FX 6130 Six Core,"4,353"
AMD FX 6200 Six Core,"4,114"
AMD FX 6300 Six Core,"4,224"
AMD FX 6330 Six Core,"4,433"
AMD FX 6350 Six Core,"4,638"
AMD FX 670K Quad Core,"2,980"
AMD FX 7500 APU,"1,925"
AMD FX 7600P,"2,557"
AMD FX 7600P APU,"2,856"
AMD FX 770K Quad Core,"3,172"
AMD FX 8100 Eight Core,"4,095"
AMD FX 8120 Eight Core,"4,631"
AMD FX 8140 Eight Core,"4,860"
AMD FX 8150 Eight Core,"5,318"
AMD FX 8300 Eight Core,"5,332"
AMD FX 8310 Eight Core,"5,050"
AMD FX 8320 Eight Core,"5,469"
AMD FX 8320E Eight Core,"5,121"
AMD FX 8350 Eight Core,"6,092"
AMD FX 8370 Eight Core,"6,180"
AMD FX 8370E Eight Core,"5,317"
AMD FX 870K Quad Core,"3,227"
AMD FX 8800P,"2,833"
AMD FX 9370 Eight Core,"6,375"
AMD FX 9590 Eight Core,"6,830"
AMD FX 9800P,"2,460"
AMD FX 9830P,"3,298"
AMD FX B4150 Quad Core,"3,369"
AMD G T40E,289
AMD G T40N,299
AMD G T40R,120
AMD G T44R,116
AMD G T48E,421
AMD G T52R,177
AMD G T56E,442
AMD G T56N,484
AMD Geode NX 2400+,400
AMD GX 210JA SOC,248
AMD GX 212JC SOC,645
AMD GX 217GA SOC,794
AMD GX 218GL SOC,754
AMD GX 222GC SOC,"1,044"
AMD GX 412HC,"1,095"
AMD GX 412TC SOC,650
AMD GX 415GA SOC,"1,405"
AMD GX 416RA SOC,"1,604"
AMD GX 420CA SOC,"1,785"
AMD GX 420MC SOC,"1,796"
AMD GX 424CC SOC,"1,819"
AMD Opteron 1212,593
AMD Opteron 1212 HE,771
AMD Opteron 1214,763
AMD Opteron 1214 HE,806
AMD Opteron 1216,781
AMD Opteron 1216 HE,727
AMD Opteron 1218,910
AMD Opteron 1218 HE,979
AMD Opteron 1220,"1,036"
AMD Opteron 1222,"1,089"
AMD Opteron 1352,"1,547"
AMD Opteron 1354,"1,635"
AMD Opteron 1356,"1,703"
AMD Opteron 1381,"1,797"
AMD Opteron 1385,"2,089"
AMD Opteron 1389,"2,079"
AMD Opteron 144,316
AMD Opteron 146,346
AMD Opteron 148,392
AMD Opteron 150,393
AMD Opteron 152,428
AMD Opteron 154,457
AMD Opteron 165,531
AMD Opteron 170,648
AMD Opteron 175,682
AMD Opteron 180,746
AMD Opteron 185,695
AMD Opteron 2218,"1,036"
AMD Opteron 2220,"1,106"
AMD Opteron 2220 SE,909
AMD Opteron 2222,"1,198"
AMD Opteron 2354,"1,509"
AMD Opteron 2356,"1,829"
AMD Opteron 2373 EE,"1,744"
AMD Opteron 2378,"1,864"
AMD Opteron 2384,"2,074"
AMD Opteron 2393 SE,"1,317"
AMD Opteron 2419 EE,"1,902"
AMD Opteron 2427,"1,995"
AMD Opteron 2431,"2,894"
AMD Opteron 2435,"3,061"
AMD Opteron 254,451
AMD Opteron 270,736
AMD Opteron 275,839
AMD Opteron 280,765
AMD Opteron 285,956
AMD Opteron 290,952
AMD Opteron 3250 HE,"2,061"
AMD Opteron 3260 HE,"2,283"
AMD Opteron 3280,"3,783"
AMD Opteron 3320 EE,"1,918"
AMD Opteron 3350 HE,"2,699"
AMD Opteron 3365,"4,125"
AMD Opteron 3380,"4,358"
AMD Opteron 4130,"2,342"
AMD Opteron 4162 EE,"2,058"
AMD Opteron 4170 HE,"2,382"
AMD Opteron 4174 HE,"2,986"
